1,Aperiam dolore quaerat.,"Ad repellat quos neque magnam. Laboriosam qui labore molestias praesentium dolorem possimus. A nulla cumque tenetur.
Officia corporis recusandae voluptatum natus minus. Enim quaerat non est.",Diagnostyczny,12,1387,2022-06-03,2022-06-27,1,5
2,Sit quia vel quas.,Corporis quos nemo officiis soluta laborum. Ab iusto incidunt laborum aliquid sunt deleniti. Dicta recusandae quam delectus.,Roczny,18,3258,2024-09-08,2024-12-15,0,13
3,Harum aliquam mollitia.,"Eius quisquam nesciunt voluptatum.
Facere labore iure voluptatibus deleniti quo. Atque qui adipisci libero magnam.
Voluptatibus dolore magni minima unde. Delectus quae quasi nisi.",Diagnostyczny,32,2538,2023-12-20,2024-01-08,0,16
4,Est est aut odit nesciunt.,Excepturi esse excepturi totam alias nesciunt laboriosam. Expedita tenetur minus cupiditate.,Semestralny,23,3208,2022-12-31,2023-06-09,0,20
5,Eveniet neque quas.,"Voluptatum dicta blanditiis corporis illum.
Nam doloribus asperiores earum fugit animi at. Voluptas ipsum harum soluta maxime. Sint possimus vitae reiciendis.",Inne,42,6246,2021-12-23,2024-05-05,0,27
6,Ut voluptatum natus ea.,"Ipsam quos quas. Quasi nostrum ipsa suscipit itaque commodi. Non neque amet quisquam.
Eos nobis corrupti et. At ex quasi ratione vitae accusamus ullam.",Diagnostyczny,49,6890,2022-02-12,2022-07-26,0,28
7,Cumque ut vel rerum qui.,Nobis repellendus excepturi qui deserunt corporis in. Numquam blanditiis illo libero porro.,Roczny,27,1850,2022-05-17,2024-01-01,1,19
8,Nisi dolorem ipsa non.,"Delectus quo fugiat quam velit ullam perferendis. Amet saepe ipsam est error dolorem ipsam.
Nulla voluptas odit quis dolor nesciunt corporis. Ratione dicta fugit doloremque vero deleniti voluptatum.",Inne,27,3787,2023-02-18,2024-06-06,1,22
9,In ipsam pariatur quam id.,"Delectus corporis esse dolorum eos veritatis. Architecto rem laudantium doloremque.
Animi tempore incidunt quae cum esse.
Laborum dolores doloribus itaque. Molestias eaque dolores culpa quos eius.",Semestralny,8,1561,2024-12-08,2024-12-10,1,20
10,Doloribus dolorum rem dolor.,"Nobis laudantium iure. Provident nihil pariatur. Possimus repellat quo soluta.
Veritatis enim ducimus odit voluptate. Repudiandae animi minima soluta quam quos.",Zajęcia dodatkowe,50,4094,2022-01-12,2023-11-18,1,30
11,Qui id incidunt.,Soluta explicabo excepturi consequuntur porro rem adipisci. Explicabo vero dolorum repudiandae reprehenderit.,Diagnostyczny,55,8557,2024-11-20,2024-11-29,0,10
12,Tenetur qui adipisci quia.,Numquam molestias nisi provident dolores delectus. Sed odio harum tempore dolore officiis natus.,Inne,51,9048,2022-06-13,2022-10-27,0,15
13,Asperiores quasi beatae.,Dignissimos ipsum ipsum quibusdam sapiente porro praesentium. Velit voluptate impedit soluta quaerat molestias. Totam labore quas molestiae. Iusto in perferendis magnam.,Inne,18,1139,2023-01-25,2023-12-14,0,26
14,Aut optio animi.,Ullam placeat nam voluptates maxime fuga mollitia. Rem dolorum asperiores. Quidem corporis at beatae perspiciatis consequuntur.,Semestralny,46,3660,2022-07-22,2022-11-06,0,17
15,Porro veniam ipsam fugiat.,Consectetur veritatis totam molestias. Odio eos tenetur tempora id voluptas. Perspiciatis officia cupiditate a maxime.,Semestralny,38,6772,2022-05-22,2023-09-10,1,13
16,Veniam aperiam sed nihil.,"Amet ullam fuga rerum. Vitae placeat sunt deserunt voluptatem molestias.
Veniam sapiente harum porro corrupti inventore perspiciatis tempora. Minima explicabo quod sapiente quas inventore.",Semestralny,37,2030,2023-05-09,2024-07-09,1,5
17,Et recusandae odit impedit.,Commodi distinctio iusto perspiciatis. Debitis quibusdam eaque necessitatibus a.,Semestralny,57,10516,2024-07-27,2024-09-27,0,17
18,Eius suscipit nam facilis.,"Voluptas accusantium quos deleniti. Vero mollitia eveniet inventore facere iure.
Illo voluptas non quas esse tempora accusantium. Aliquid suscipit quidem doloremque nulla nam ab.",Semestralny,18,2707,2023-09-19,2023-11-08,1,15
19,Nam quas corporis hic.,"Repudiandae similique tempora. Porro minus voluptatum illo sint velit ipsam. Ex sunt asperiores asperiores enim deleniti eius.
Culpa qui ducimus ab.",Zajęcia dodatkowe,42,3061,2022-07-31,2023-02-26,0,28
20,Maiores minima quaerat illo.,"Sint deleniti quisquam. Exercitationem ipsam ut quidem natus perspiciatis ipsa. Accusamus facilis harum.
Non quod est repellat. Praesentium doloribus nisi vel consequatur. Id pariatur veritatis ex.",Semestralny,51,6040,2023-03-26,2024-02-13,1,14
